"MasterID","COMID","yr","csci_sampledate","Constraint_class","lower","meds","upper","County","SMC_region","Regional_board","pChem","pHab","pOverall","biological_condition","WaterChemistryCondition","HabitatCondition","OverallStressCondition","stress_condition","SQI","ASCI","blc","bs","Cond","CSCI","Ev_FlowHab_score","Ev_FlowHab_raw","H_AqHab_score","H_AqHab_raw","H_SubNat_score","H_SubNat_raw","hy","CRAM","IPI","PCT_SAFN_score","PCT_SAFN_raw","ps","TN","TP","XCMG_score","XCMG_raw","lon","lat","ASCI_ptile","blc_ptile","bs_ptile","Cond_ptile","CRAM_ptile","CSCI_ptile","Ev_FlowHab_ptile","H_AqHab_ptile","H_SubNat_ptile","hy_ptile","IPI_ptile","PCT_SAFN_ptile","ps_ptile","TN_ptile","TP_ptile","XCMG_ptile"
"901S00531","20348625",2021,2021-04-27,"possibly constrained",0.36801277,0.5040012,0.80629037,"Orange","San Juan","San Diego",0.972752953725578,0.99878749618066,0.999966962852327,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",0.62,25,33.3,1920,0.4,0,0,0.04,0,0,0,41.7,31,0.06,0.25,1,25,0.52,0.04,0,8,-117.772,33.55975,0.367479674796748,0.0504065040650407,0.164227642276423,0.773983739837398,0.0455284552845528,0.0699186991869919,0.0845528455284553,0.0504065040650407,0.0699186991869919,0.113821138211382,0.0146341463414634,0.165853658536585,0.144715447154472,0.489430894308943,0.458536585365854,0.0439024390243902
"SMC01155","22561200",2021,2021-04-26,"possibly unconstrained",0.75910064,1.02437862,1.11744876,"Orange","Lower Santa Ana","Santa Ana",0.544955473653585,0.599777644038969,0.817881007598466,"Impacted for ASCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",0.55,90.3,30.6,844.3,0.84,0.77,0.74,0.68,1.2,0.72,1.37,91.7,66,0.75,0.58,48,50,1.27,0.01,0.33,24,-117.67949,33.7606,0.260162601626016,0.559349593495935,0.128455284552846,0.36260162601626,0.354471544715447,0.626016260162602,0.733333333333333,0.351219512195122,0.378861788617886,0.88780487804878,0.265040650406504,0.352845528455285,0.373983739837398,0.652032520325203,0.198373983739837,0.234146341463415
"412WE0552","22514712",2020,2020-08-05,"possibly unconstrained",0.65017844,0.93068538,1.14582563,"Los Angeles","Los Angeles","Los Angeles",0.539357846134574,0.531818251106592,0.784335750789258,"Impacted for ASCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",0.81,93.3,77.8,430,1.11,1,0.95,1,1.82,0.95,1.8,83.3,79,1.21,0.65,29,62.5,0.09,0.09,0.96,136,-118.18059,34.23908,0.640650406504065,0.769105691056911,0.790243902439024,0.204878048780488,0.68780487804878,0.941463414634146,1,1,0.827642276422764,0.821138211382114,0.99349593495935,0.426016260162602,0.482926829268293,0.149593495934959,0.630894308943089,0.879674796747967
"SMC05020","22514774",2020,2020-08-05,"possibly unconstrained",0.59315098,0.83273377,1.0913474,"Los Angeles","Los Angeles","Los Angeles",0.620388900772553,0.262309531751965,0.719964510458753,"Impacted for ASCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",0.82,100,47.2,434.2,1.04,0.43,0.42,0.93,1.66,0.85,1.61,91.7,75,1,0.87,10,62.5,0.13,0.12,0.74,106,-118.17657,34.23202,0.655284552845528,1,0.242276422764228,0.211382113821138,0.595121951219512,0.88130081300813,0.263414634146341,0.882926829268293,0.609756097560976,0.88780487804878,0.682926829268293,0.744715447154472,0.482926829268293,0.2,0.707317073170732,0.595121951219512
"SMC05640","22514620",2020,2020-07-28,"possibly unconstrained",0.64129498,0.87982402,1.14472765,"Los Angeles","Los Angeles","Los Angeles",0.513477690997034,0.489058753209878,0.751415684846816,"Impacted for ASCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",0.51,93.3,83.3,374.2,1.11,0.88,0.84,1,1.9,0.97,1.85,83.3,84,1.18,0.74,29,75,0.06,0.1,0.89,124,-118.22203,34.28233,0.203252032520325,0.769105691056911,0.902439024390244,0.167479674796748,0.834146341463415,0.941463414634146,0.861788617886179,1,0.88780487804878,0.821138211382114,0.983739837398374,0.538211382113821,0.780487804878049,0.12520325203252,0.653658536585366,0.816260162601626
"SMC06216","22514628",2020,2020-07-28,"possibly unconstrained",0.58795667,0.91011856,1.11438992,"Los Angeles","Los Angeles","Los Angeles",0.678980280355604,0.4687430136017,0.829456031167291,"Impacted for ASCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",0.69,90.3,80.6,570,0.98,0.37,0.37,0.95,1.75,0.86,1.64,83.3,76,0.96,0.87,14,50,0.25,0.09,0.67,90,-118.31518,34.27407,0.460162601626016,0.559349593495935,0.856910569105691,0.258536585365854,0.616260162601626,0.804878048780488,0.226016260162602,0.907317073170732,0.632520325203252,0.821138211382114,0.590243902439024,0.744715447154472,0.373983739837398,0.315447154471545,0.630894308943089,0.51219512195122
"412CE0232","22515812",2020,2020-07-14,"likely constrained",0.28520003,0.47172623,0.72370758,"Los Angeles","Los Angeles","Los Angeles",0.949694117060155,0.9994298292897,0.999971317058992,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",0.41,62.5,25,960,0.6,0.23,0.24,0,0,0.47,0.9,33.3,36,0.28,0.18,7,25,6.26,0.1,0.19,0,-118.45624,34.15907,0.0780487804878049,0.160975609756098,0.108943089430894,0.421138211382114,0.0878048780487805,0.279674796747967,0.149593495934959,0.040650406504065,0.186991869918699,0.0894308943089431,0.0894308943089431,0.12520325203252,0.144715447154472,0.902439024390244,0.653658536585366,0.146341463414634
"SMC01208","22514892",2020,2020-07-14,"likely constrained",0.27798533,0.47172623,0.75994874,"Los Angeles","Los Angeles","Los Angeles",0.97649133863021,0.999506971549809,0.999988409561119,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",0.71,67.7,25,1614,0.46,0,0,0,0,0.11,0.21,33.3,38,0.12,0.15,18,25,5.24,0.04,0.15,0,-118.5365,34.19015,0.484552845528455,0.245528455284553,0.108943089430894,0.695934959349593,0.120325203252033,0.134959349593496,0.0845528455284553,0.040650406504065,0.0861788617886179,0.0894308943089431,0.0308943089430894,0.100813008130081,0.144715447154472,0.873170731707317,0.458536585365854,0.121951219512195
"404R4S041","20364671",2020,2020-07-14,"possibly constrained",0.40876077,0.57374561,0.87806861,"Ventura","Santa Monica Bay","Los Angeles",0.999820649682427,0.958629265389904,0.999992580145609,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",0.36,58.5,66.7,3410.2,0.57,0.43,0.42,0.68,1.44,0.36,0.69,75,69,0.6,0.08,84,75,1.56,0.13,0.6,114,-118.78804,34.18746,0.0471544715447154,0.12520325203252,0.567479674796748,0.930081300813008,0.430894308943089,0.242276422764228,0.263414634146341,0.351219512195122,0.146341463414634,0.647154471544715,0.186991869918699,0.0536585365853659,0.780487804878049,0.68780487804878,0.721951219512195,0.429268292682927
"ME-VR2","948070372",2020,2020-07-01,NA,NA,NA,NA,"Ventura","Ventura","Los Angeles",0.635706355615859,0.474183173586885,0.808448272027463,"Impacted for ASCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",0.64,80.6,75,1097,0.93,0.95,0.9,1,1.86,1,1.95,83.3,75,1.15,0.83,43,62.5,0.56,0.01,0.74,90,-119.29948,34.34584,0.39349593495935,0.383739837398374,0.754471544715447,0.489430894308943,0.595121951219512,0.738211382113821,0.91869918699187,1,1,0.821138211382114,0.96260162601626,0.679674796747967,0.482926829268293,0.502439024390244,0.198373983739837,0.595121951219512
